Mass,Err_2,Err_3
0.1,-0.01320357539818878,-0.026857532188810672
0.2,0.0057106132378504,0.0033226281684995977
0.3,-0.0008051584392539045,0.0012246289492061707
0.4,-0.00518855614840174,-0.0024594641403453865
0.5,0.0010096506953218012,0.0027033812931753164
0.6,0.01175426370028222,0.014655387598479723
0.7,0.006945555487818297,0.008251213620834056
0.8,0.0015235493269008396,0.005158939772538789
0.9,-0.012897393337832116,-0.007740560363361916
1.1,-0.11723520862640284,-0.1367419299575646
1.2,-0.24873039264974428,-0.3239380855285378
1.3,-0.8501062440926903,-1.1621921509063227
1.4,-1.5826224921777372,-2.299056071299621
1.5,-2.230609491418842,-3.3776441457148016
1.6,-2.0779894168482698,-3.2494709263905843
1.7,-1.899228082730315,-3.0498892105693476
1.8,-1.772831329998031,-2.8976110063096137
1.9,-1.669240267160085,-2.7690480786095018
1,-0.046269488996552706,-0.04449490802578477
2,-1.5814894137714401,-2.657408029200885
3,-1.0024501138934567,-1.8431340207017846
4,-0.6966011063979991,-1.3437111601352618
5,-0.511917726541197,-1.0181271941041046
6,-0.40288689439484154,-0.8155815908894075
7,-0.3361515959086965,-0.7061563840037519
8,-0.28228024972708476,-0.5948746961919029
9,-0.24894488887269003,-0.5232465183327797
10,-0.2306399800097613,-0.48579072389590355
20,-0.1593225356814232,-0.3286463785927815
30,-0.1498368725283308,-0.3235858465879619
40,-0.15655555735091994,-0.33878420012628785
50,-0.16369072089601647,-0.360424109425399
60,-0.17591876987849406,-0.3969568840966894
70,-0.19648269699859,-0.4570419394563676
80,-0.22361808095191887,-0.5371988464675842
90,-0.2702950676794509,-0.6539618443963681
100,-0.32543754688894666,-0.7810425393749157
